date,time,symbol,itype,action,buy_price,sell_price,qty,investment,stop_loss,target,pnl,result,rsi,macd,bb_pct,reason
2026-04-27,21:08,KO,US_STOCK,BUY,75.905,,9,683.14,72.8688,78.9412,,,33.56,0,0,RSI BUY
2026-04-27,21:19,LINK-USD,CRYPTO,BUY,9.179,,1,9.18,8.8118,9.5462,,,32.96,0,0,RSI BUY
2026-04-27,21:19,CVX,US_STOCK,BUY,184.68,,3,554.04,177.2928,192.0672,,,34.91,0,0,RSI BUY
2026-04-28,07:05,EURINR=X,FOREX,BUY,110.3614,,45,4966.26,105.9469,114.7759,,,29.13,0,0,RSI BUY
2026-04-28,07:05,GBPINR=X,FOREX,BUY,127.3817,,37,4713.12,122.2864,132.477,,,31.38,0,0,RSI BUY
2026-04-28,07:26,EURUSD=X,FOREX,BUY,1.1716,,3854,4515.35,1.1247,1.2185,,,34.94,0,0,RSI BUY
2026-04-28,07:31,GBPUSD=X,FOREX,BUY,1.3524,,3172,4289.81,1.2983,1.4065,,,34.07,0,0,RSI BUY
2026-04-28,07:31,USDHKD=X,FOREX,BUY,7.8355,,520,4074.46,7.5221,8.1489,,,29.15,0,0,RSI BUY
2026-04-28,08:08,BTC-USD,CRYPTO,BUY,76897.2734,,1,76897.27,73821.3825,79973.1643,,,32.87,0,0,RSI BUY
2026-04-28,08:08,SOL-USD,CRYPTO,BUY,84.23,,1,84.23,80.8608,87.5992,,,34.38,0,0,RSI BUY
2026-04-28,08:08,LINK-USD,CRYPTO,BUY,9.267,,1,9.27,8.8963,9.6377,,,34.57,0,0,RSI BUY
2026-04-28,12:00,ICICIBANK.NS,STOCK,BUY,1304.4,,1,1304.4,1278.312,1343.532,,,29.72,0,0,RSI BUY
2026-04-28,12:00,SBIN.NS,STOCK,BUY,1097.0,,1,1097.0,1075.06,1129.91,,,28.42,0,0,RSI BUY
2026-04-28,12:16,SBIN.NS,STOCK,BUY,1096.35,,1,1096.35,1074.423,1129.2405,,,29.15,0,0,RSI BUY
2026-04-28,12:16,BANKBEES.NS,ETF,BUY,574.68,,1,574.68,566.0598,586.1736,,,29.73,0,0,RSI BUY
2026-04-28,12:28,SBIN.NS,STOCK,BUY,1094.85,,2,2189.7,1072.953,1127.6955,,,26.1,0,0,RSI BUY
2026-04-28,12:28,LT.NS,STOCK,BUY,4037.1001,,1,4037.1,3956.3581,4158.2131,,,27.68,0,0,RSI BUY
2026-04-28,12:28,^NSEI,INDEX,BUY,24018.5,,1,24018.5,23658.2225,24498.87,,,29.74,0,0,RSI BUY
2026-04-28,12:28,^NSEBANK,INDEX,BUY,55660.1016,,1,55660.1,54825.2001,56773.3036,,,29.76,0,0,RSI BUY
2026-04-28,12:28,SI=F,COMMODITY,BUY,72.875,,5,364.38,71.0531,75.0613,,,28.29,0,0,RSI BUY
2026-04-28,12:39,SBIN.NS,STOCK,BUY,1093.85,,2,2187.7,1071.973,1126.6655,,,24.71,0,0,RSI BUY
2026-04-28,12:39,MARUTI.NS,STOCK,BUY,13128.0,,1,13128.0,12865.44,13521.84,,,28.38,0,0,RSI BUY
2026-04-28,12:44,DOT-USD,CRYPTO,BUY,1.224,,24,29.38,1.175,1.2852,,,28.03,0,0,RSI BUY
2026-04-28,12:50,TCS.NS,STOCK,BUY,2441.7,,1,2441.7,2392.866,2514.951,,,27.65,0,0,RSI BUY
2026-04-28,12:50,AVAX-USD,CRYPTO,BUY,9.15,,3,27.45,8.784,9.6075,,,26.9,0,0,RSI BUY
2026-04-29,09:15,ICICIBANK.NS,STOCK,BUY,1289.4,,1,1289.4,1263.612,1328.082,,,25.81,0,0,RSI BUY
2026-04-29,09:15,GOLDBEES.NS,ETF,BUY,122.44,,19,2326.36,120.6034,124.8888,,,23.48,0,0,RSI BUY
2026-04-29,09:20,TATASTEEL.NS,STOCK,BUY,213.75,,12,2565.0,209.475,220.1625,,,28.75,0,0,RSI BUY
2026-04-30,08:00,AAVE-USD,CRYPTO,BUY,92.63,,1,92.63,88.9248,97.2615,,,29.96,0,0,RSI BUY
2026-04-30,08:10,SOL-USD,CRYPTO,BUY,82.84,,1,82.84,79.5264,86.982,,,29.59,0,0,RSI BUY
2026-04-30,08:10,LINK-USD,CRYPTO,BUY,9.075,,3,27.22,8.712,9.5288,,,28.4,0,0,RSI BUY
2026-04-30,08:16,BNB-USD,CRYPTO,BUY,616.14,,1,616.14,591.4944,646.947,,,29.19,0,0,RSI BUY
2026-04-30,09:19,HDFCBANK.NS,STOCK,BUY,768.4,,3,2305.2,753.032,791.452,,,14.87,0,0,RSI BUY
2026-05-01,08:48,BNB-USD,CRYPTO,SELL,52679.97,617.7,1,52679.97,-52062.27,LOSS 🔴,70.61,0,0,RSI SELL 📉
2026-05-01,08:54,SOL-USD,CRYPTO,SELL,7082.82,84.26,1,7082.82,-6998.56,LOSS 🔴,76.59,0,0,RSI SELL 📉
2026-05-01,08:54,LINK-USD,CRYPTO,SELL,775.91,9.195,3,2327.73,-2300.14,LOSS 🔴,77.76,0,0,RSI SELL 📉
2026-05-01,08:54,AAVE-USD,CRYPTO,SELL,7919.86,93.76,1,7919.86,-7826.1,LOSS 🔴,73.53,0,0,RSI SELL 📉
2026-05-01,10:21,HG=F,COMMODITY,BUY,6.0055,,488,2930.68,5.8554,6.1857,,,26.42,0,0,RSI BUY
2026-05-01,10:32,SI=F,COMMODITY,BUY,74.255,,38,2821.69,72.3986,76.4826,,,28.3,0,0,RSI BUY
2026-05-01,13:19,GC=F,COMMODITY,BUY,4597.2998,,1,4597.3,4482.3673,4735.2188,,,27.95,0,0,RSI BUY
2026-05-01,13:19,BZ=F,COMMODITY,BUY,104.09,,25,2602.25,101.4878,107.2127,,,9.25,0,0,RSI BUY
2026-05-04,13:34,TCS.NS,STOCK,BUY,2426.0,,1,2426.0,2377.48,2498.78,,,30.5,0,0,RSI BUY
2026-05-05,12:01,AAPL,US_STOCK,SELL,26363.4729,26678.68,26363.4729,10,266786.8,-3152.07,LOSS 🔴,50.0,0,0,STOP-LOSS (-99.0%)
2026-05-05,12:01,NFLX,US_STOCK,SELL,8669.7393,8770.68,8669.7393,31,271891.08,-3129.16,LOSS 🔴,50.0,0,0,STOP-LOSS (-99.0%)
2026-05-05,12:07,AAPL,US_STOCK,SELL,26363.4729,26678.68,26363.4729,10,266786.8,-3152.07,LOSS 🔴,50.0,0,0,STOP-LOSS (-99.0%)
2026-05-05,12:07,NFLX,US_STOCK,SELL,8669.7393,8770.68,8669.7393,31,271891.08,-3129.16,LOSS 🔴,50.0,0,0,STOP-LOSS (-99.0%)
2026-05-05,12:09,ICICIBANK.NS,STOCK,BUY,1248.9,,4,4995.6,1223.922,1286.367,,,40.69,0,0,RSI BUY
2026-05-06,12:53,ITC.NS,STOCK,BUY,309.95,,16,4959.2,303.751,319.2485,,,41.35,0,0,RSI BUY
2026-05-07,09:15,SBIN.NS,STOCK,SELL,1102.7,1069.4,1102.7,2,2138.8,66.6,WIN 🟢,79.57,0,0,TARGET HIT 🎯
